col1,col2
0.9,0.998716
0.90002,0.998639
0.90004,0.998653
0.90006,0.998206
0.90008,0.997676
0.9001,0.996976
0.90012,0.993966
0.90014,0.991764
0.90016,0.992938
0.90018,0.991818
0.9002,0.98573
0.90022,0.964148
0.90024,0.879331
0.90026,0.672993
0.90028,0.573078
0.9003,0.721499
0.90032,0.82054
0.90034,0.907406
0.90036,0.96948
0.90038,0.987442
0.9004,0.99285
0.90042,0.994896
0.90044,0.995725
0.90046,0.995992
0.90048,0.995927
0.9005,0.995503
0.90052,0.994391
0.90054,0.991295
0.90056,0.977622
0.90058,0.911325
0.9006,0.771777
0.90062,0.702268
0.90064,0.748244
0.90066,0.879179
0.90068,0.967002
0.9007,0.989624
0.90072,0.99456
0.90074,0.996364
0.90076,0.997331
0.90078,0.997267
0.9008,0.994215
0.90082,0.990767
0.90084,0.993709
0.90086,0.996485
0.90088,0.994548
0.9009,0.980554
0.90092,0.947375
0.90094,0.917918
0.90096,0.900343
0.90098,0.877663
0.901,0.834808
0.90102,0.874994
0.90104,0.937619
0.90106,0.978856
0.90108,0.994011
0.9011,0.995356
0.90112,0.98466
0.90114,0.95415
0.90116,0.950122
0.90118,0.981173
0.9012,0.995743
0.90122,0.998059
0.90124,0.997979
0.90126,0.996655
0.90128,0.996347
0.9013,0.99727
0.90132,0.996632
0.90134,0.994479
0.90136,0.991078
0.90138,0.975847
0.9014,0.900097
0.90142,0.731914
0.90144,0.691078
0.90146,0.855272
0.90148,0.963587
0.9015,0.988975
0.90152,0.994065
0.90154,0.995242
0.90156,0.99461
0.90158,0.99014
0.9016,0.986088
0.90162,0.991436
0.90164,0.995492
0.90166,0.996096
0.90168,0.997167
0.9017,0.997619
0.90172,0.997406
0.90174,0.996972
0.90176,0.996213
0.90178,0.994951
0.9018,0.992656
0.90182,0.988104
0.90184,0.977031
0.90186,0.945523
0.90188,0.836011
0.9019,0.595929
0.90192,0.442852
0.90194,0.601793
0.90196,0.850731
0.90198,0.954273
0.902,0.979863
0.90202,0.983652
0.90204,0.971213
0.90206,0.962392
0.90208,0.978732
